4
6
Krista Khadijah Jonell Dominick Naida Kali 
1 1 1 0 1 0 
1 1 0 1 1 0 
1 0 0 0 1 1 
0 1 0 0 1 1 
1 1 1 1 1 1 
0 0 1 1 1 1 
7
Crystle Jayna Cristal Leesa Owen Shelli Candie 
0 1 0 1 0 0 0 
1 0 0 0 0 1 1 
0 0 0 1 0 0 1 
1 0 1 1 1 1 0 
0 0 0 1 1 1 0 
0 1 0 1 1 1 0 
0 1 1 0 0 0 1 
7
Demetrice Elisha Stormy Carmine Trinidad Kanisha Todd 
0 1 0 0 0 0 1 
1 1 1 0 1 1 0 
0 1 0 0 1 0 1 
0 0 0 0 0 0 0 
0 1 1 0 1 0 0 
0 1 0 0 0 0 0 
1 0 1 0 0 0 0 
7
Joan Stormy Mildred Alta Marguerite Mathilda Delois 
1 1 0 0 1 1 1 
1 1 1 1 0 1 1 
0 1 0 1 1 0 0 
0 1 1 0 1 0 0 
1 0 1 1 1 0 0 
1 1 0 0 0 1 0 
1 1 0 0 0 0 1 
